range,surface_offset_mm,z_shift_mm,piece,rmse_mm,mae_mm,max_error_mm,points,winner
full,0.07500000000000001,-0.10000000000000003,Bishop,0.20439138648121127,0.17761234322018113,1.0079983897085611,234,1
full,0.07500000000000001,-0.10000000000000003,Queen,0.2886442713929716,0.26296860688404544,0.7980000000000018,234,0
full,0.07500000000000001,-0.050000000000000044,Pawn,1.4034780211737388,1.1867522208697254,2.054551053632702,235,0
full,0.07500000000000001,-0.050000000000000044,Bishop,0.2125692605009943,0.18932376603326637,1.079334808256661,234,1
full,0.07500000000000001,-0.050000000000000044,Queen,0.30809249263941985,0.2797595548469902,0.7980000000000018,234,0
full,0.07500000000000001,-5.551115123125783e-17,Pawn,1.3741891379342495,1.1584393375731246,2.0296598613033936,235,0
full,0.07500000000000001,-5.551115123125783e-17,Bishop,0.2225250531413527,0.20520060765958462,0.8259983897085625,235,1
full,0.07500000000000001,-5.551115123125783e-17,Queen,0.3292586911328889,0.2960793787696455,0.8837543790720623,235,0
full,0.07500000000000001,0.04999999999999993,Pawn,1.3467824484467352,1.1333063978999378,1.986551053632697,236,0
full,0.07500000000000001,0.04999999999999993,Bishop,0.23904318581093645,0.22145714018714785,0.8313348082566581,235,1
full,0.07500000000000001,0.04999999999999993,Queen,0.3536021533323439,0.31279887589019506,1.0459999999999994,235,0
full,0.07500000000000001,0.09999999999999992,Pawn,1.31760197141024,1.1051134844478145,1.9606598613033945,236,0
full,0.07500000000000001,0.09999999999999992,Bishop,0.2538203276754273,0.23648307249822306,0.618475413967813,235,1
full,0.07500000000000001,0.09999999999999992,Queen,0.37920387366162506,0.33069405555157516,1.065754379072061,236,0
full,0.07500000000000001,0.1499999999999999,Pawn,1.2890230389123944,1.0779880551438912,1.935884999999999,236,0
full,0.07500000000000001,0.1499999999999999,Bishop,0.2741502195485329,0.25409146516563813,0.6565709999999978,235,1
full,0.07500000000000001,0.1499999999999999,Queen,0.4066933505915183,0.3504366299487038,1.227999999999998,236,0
full,0.07500000000000001,0.1999999999999999,Pawn,1.260105129598023,1.0499744122257684,1.899468029123776,236,0
full,0.07500000000000001,0.1999999999999999,Bishop,0.29687380703806504,0.27240863631263784,0.764725413967815,234,1
full,0.07500000000000001,0.1999999999999999,Queen,0.43475465261943713,0.37159794755237535,1.227999999999998,236,0
full,0.07500000000000001,0.24999999999999983,Pawn,1.2315897773309739,1.0227090984942415,1.888885000000002,236,0
full,0.07500000000000001,0.24999999999999983,Bishop,0.32457271535068666,0.29732957306860425,0.8028209999999998,234,1
full,0.07500000000000001,0.24999999999999983,Queen,0.4635054060540418,0.3934752799002836,1.37425,236,0
full,0.07500000000000001,0.2999999999999999,Pawn,1.2027104612979949,0.9945929189551851,1.8374680291237784,236,0
full,0.07500000000000001,0.2999999999999999,Bishop,0.352710465594388,0.3187354473694886,0.8877254139678179,233,1
full,0.07500000000000001,0.2999999999999999,Queen,0.49221174434845766,0.4161976101360019,1.37425,236,0
full,0.1,-0.3,Pawn,1.5600578598870474,1.3284629816238607,2.2616598613033982,232,0
full,0.1,-0.3,Bishop,0.2274993611934065,0.15781682465842867,1.2522483897085657,232,1
full,0.1,-0.3,Queen,0.23188243511597445,0.17622555387495098,1.2029999999999976,232,0
full,0.1,-0.25,Pawn,1.5324653265285948,1.3026575484953966,2.2185510536327016,233,0
full,0.1,-0.25,Bishop,0.21087843290708588,0.14637019262013518,1.3825848082566559,232,1
full,0.1,-0.25,Queen,0.23327979241222438,0.19034298102273992,1.0887130036794357,232,0
full,0.1,-0.2,Pawn,1.5031870587269613,1.2742764452220412,2.1916598613033944,233,0
full,0.1,-0.2,Bishop,0.19382761609661636,0.14449756168612013,1.1292483897085681,233,1
full,0.1,-0.2,Queen,0.2391194496807237,0.2048675761919423,1.020999999999999,233,0
full,0.1,-0.15000000000000002,Pawn,1.4756193551610626,1.248624823929177,2.1485510536326977,234,0
full,0.1,-0.15000000000000002,Bishop,0.18778186438727637,0.14677264202350335,1.2363348082566539,233,1
