z,xmin,xmax,ymin,ymax,center_x,center_y,half_width_x,half_width_y,half_width
19.15,53.668,72.332,46.168,64.832,63.0,55.5,9.331999999999997,9.331999999999997,9.581999999999997
19.25,53.728,72.272,46.228,64.772,63.0,55.5,9.272000000000002,9.272000000000002,9.522000000000002
19.35,53.788,72.212,46.288,64.712,63.0,55.5,9.212000000000003,9.212000000000003,9.462000000000003
19.45,53.848,72.152,46.348,64.652,63.0,55.5,9.152000000000001,9.152000000000001,9.402000000000001
19.55,53.908,72.092,46.408,64.592,63.0,55.5,9.091999999999999,9.091999999999999,9.341999999999999
19.65,53.967,72.033,46.467,64.533,63.0,55.5,9.033000000000001,9.033000000000001,9.283000000000001
19.75,54.026,71.974,46.526,64.474,63.0,55.5,8.974,8.974,9.224
19.85,54.083,71.917,46.583,64.417,63.0,55.5,8.917000000000002,8.917000000000002,9.167000000000002
19.95,54.14,71.86,46.64,64.36,63.0,55.5,8.86,8.86,9.11
20.05,54.197,71.803,46.697,64.303,63.0,55.5,8.802999999999997,8.802999999999997,9.052999999999997
20.15,54.254,71.746,46.754,64.246,63.0,55.5,8.745999999999999,8.745999999999999,8.995999999999999
20.25,54.311,71.689,46.811,64.189,63.0,55.5,8.688999999999997,8.688999999999997,8.938999999999997
20.35,54.368,71.632,46.868,64.132,63.0,55.5,8.632000000000001,8.632000000000001,8.882000000000001
20.45,54.425,71.575,46.925,64.075,63.0,55.5,8.575000000000003,8.575000000000003,8.825000000000003
20.55,54.48,71.52,46.98,64.02,63.0,55.5,8.52,8.52,8.77
20.65,54.535,71.465,47.035,63.965,63.0,55.5,8.465000000000003,8.465000000000003,8.715000000000003
20.75,54.589,71.411,47.089,63.911,63.0,55.5,8.411000000000001,8.411000000000001,8.661000000000001
20.85,54.643,71.357,47.143,63.857,63.0,55.5,8.357,8.357,8.607
20.95,54.697,71.303,47.197,63.803,63.0,55.5,8.302999999999997,8.302999999999997,8.552999999999997
21.05,54.751,71.249,47.251,63.749,63.0,55.5,8.248999999999999,8.249000000000002,8.499
21.15,54.806,71.194,47.306,63.694,63.0,55.5,8.194000000000003,8.194000000000003,8.444000000000003
21.25,54.86,71.14,47.36,63.64,63.0,55.5,8.14,8.14,8.39
21.35,54.911,71.089,47.411,63.589,63.0,55.5,8.088999999999999,8.088999999999999,8.338999999999999
21.45,54.963,71.037,47.463,63.537,63.0,55.5,8.037000000000003,8.036999999999999,8.287
21.55,55.015,70.985,47.515,63.485,63.0,55.5,7.984999999999999,7.984999999999999,8.235
21.65,55.066,70.934,47.566,63.434,63.0,55.5,7.9339999999999975,7.9339999999999975,8.183999999999997
21.75,55.118,70.882,47.618,63.382,63.0,55.5,7.8820000000000014,7.881999999999998,8.132
21.85,55.169,70.831,47.669,63.331,63.0,55.5,7.831000000000003,7.831000000000003,8.081000000000003
21.95,55.221,70.779,47.721,63.279,63.0,55.5,7.779,7.7790000000000035,8.029000000000002
22.05,55.272,70.728,47.772,63.228,63.0,55.5,7.727999999999998,7.7280000000000015,7.978
22.15,55.321,70.679,47.821,63.179,63.0,55.5,7.679000000000002,7.679000000000002,7.929000000000002
22.25,55.369,70.631,47.869,63.131,63.0,55.5,7.631,7.631,7.881
22.35,55.418,70.582,47.918,63.082,63.0,55.5,7.581999999999997,7.582000000000001,7.831999999999999
22.45,55.467,70.533,47.967,63.033,63.0,55.5,7.533000000000001,7.533000000000001,7.783000000000001
22.55,55.516,70.484,48.016,62.984,63.0,55.5,7.483999999999998,7.484000000000002,7.734
22.65,55.565,70.435,48.065,62.935,63.0,55.5,7.435000000000002,7.435000000000002,7.685000000000002
22.75,55.614,70.386,48.114,62.886,63.0,55.5,7.385999999999999,7.386000000000003,7.636000000000001
22.85,55.662,70.338,48.162,62.838,63.0,55.5,7.337999999999997,7.338000000000001,7.587999999999999
22.95,55.708,70.292,48.208,62.792,63.0,55.5,7.292000000000002,7.292000000000002,7.542000000000002
23.05,55.755,70.245,48.255,62.745,63.0,55.5,7.245000000000001,7.244999999999997,7.494999999999999
23.15,55.801,70.199,48.301,62.699,63.0,55.5,7.198999999999998,7.198999999999998,7.448999999999998
23.25,55.847,70.153,48.347,62.653,63.0,55.5,7.153000000000002,7.152999999999999,7.4030000000000005
23.35,55.894,70.106,48.394,62.606,63.0,55.5,7.105999999999998,7.106000000000002,7.356
23.45,55.94,70.06,48.44,62.56,63.0,55.5,7.060000000000002,7.060000000000002,7.310000000000002
23.55,55.986,70.014,48.486,62.514,63.0,55.5,7.013999999999999,7.014000000000003,7.264000000000001
23.65,56.031,69.969,48.531,62.469,63.0,55.5,6.968999999999998,6.969000000000001,7.218999999999999
23.75,56.075,69.925,48.575,62.425,63.0,55.5,6.924999999999997,6.924999999999997,7.174999999999997
23.85,56.119,69.881,48.619,62.381,63.0,55.5,6.881,6.881,7.131
23.95,56.163,69.837,48.663,62.337,63.0,55.5,6.837000000000003,6.837000000000003,7.087000000000003
