line,z,x1,y1,z1,x2,y2,z2,e1,e2,delta_e,xy_distance,xyz_distance
181,0.35,48.729,66.777,0.35,48.729,67.673,0.35,411.34136,411.59458,0.2532199999999989,0.8960000000000008,0.8960000000000008
182,0.35,48.729,67.673,0.35,50.827,69.771,0.35,411.59458,412.43268,0.8380999999999972,2.967020053858752,2.967020053858752
183,0.35,50.827,69.771,0.35,49.93,69.771,0.35,412.43268,412.6859,0.2532199999999989,0.8969999999999985,0.8969999999999985
184,0.35,49.93,69.771,0.35,48.729,68.57,0.35,412.6859,413.16589,0.4799899999999866,1.698470488410093,1.6984704884100927
185,0.35,48.729,68.57,0.35,48.729,69.466,0.35,413.16589,413.41911,0.2532199999999989,0.8960000000000008,0.8960000000000008
186,0.35,48.729,69.466,0.35,49.034,69.771,0.35,413.41911,413.54099,0.12188000000003285,0.4313351365237986,0.4313351365237986
194,0.45,77.75,70.25,0.45,48.25,70.25,0.45,2.0,3.79742,1.7974199999999998,29.5,29.5
195,0.45,48.25,70.25,0.45,48.25,40.75,0.45,3.79742,5.59485,1.7974300000000003,29.5,29.5
196,0.45,48.25,40.75,0.45,77.75,40.75,0.45,5.59485,7.39227,1.7974199999999998,29.5,29.5
197,0.45,77.75,40.75,0.45,77.75,70.175,0.45,7.39227,9.18512,1.7928499999999996,29.424999999999997,29.424999999999997
199,0.45,76.924,69.816,0.45,77.316,69.424,0.45,9.18512,9.24378,0.05865999999999971,0.5543717164502475,0.5543717164502475
200,0.45,77.316,69.424,0.45,77.316,68.248,0.45,9.24378,9.36843,0.12465000000000082,1.176000000000002,1.176000000000002
201,0.45,77.316,68.248,0.45,75.748,69.816,0.45,9.36843,9.60338,0.23494999999999955,2.21748686580101,2.21748686580101
202,0.45,75.748,69.816,0.45,74.571,69.816,0.45,9.60338,9.72804,0.12466000000000044,1.1770000000000067,1.1770000000000067
203,0.45,74.571,69.816,0.45,77.316,67.071,0.45,9.72804,10.13927,0.41122999999999976,3.882016228714152,3.882016228714152
204,0.45,77.316,67.071,0.45,77.316,65.894,0.45,10.13927,10.26393,0.12466000000000044,1.1769999999999925,1.1769999999999925
205,0.45,77.316,65.894,0.45,73.394,69.816,0.45,10.26393,10.85145,0.5875199999999996,5.546545591627274,5.546545591627274
206,0.45,73.394,69.816,0.45,72.218,69.816,0.45,10.85145,10.97611,0.12466000000000044,1.176000000000002,1.176000000000002
207,0.45,72.218,69.816,0.45,77.316,64.718,0.45,10.97611,11.73992,0.7638099999999994,7.2096607409780376,7.209660740978037
208,0.45,77.316,64.718,0.45,77.316,63.541,0.45,11.73992,11.86458,0.12466000000000044,1.1770000000000067,1.1770000000000067
209,0.45,77.316,63.541,0.45,71.041,69.816,0.45,11.86458,12.80468,0.9400999999999993,8.874190103891179,8.874190103891179
210,0.45,71.041,69.816,0.45,69.864,69.816,0.45,12.80468,12.92934,0.12466000000000044,1.1769999999999925,1.1769999999999925
211,0.45,69.864,69.816,0.45,77.316,62.364,0.45,12.92934,14.04573,1.1163900000000009,10.538719466804308,10.538719466804306
212,0.45,77.316,62.364,0.45,77.316,61.188,0.45,14.04573,14.17039,0.12465999999999866,1.1759999999999948,1.1759999999999948
213,0.45,77.316,61.188,0.45,68.688,69.816,0.45,14.17039,15.46307,1.2926800000000007,12.201834616155065,12.201834616155065
214,0.45,68.688,69.816,0.45,67.511,69.816,0.45,15.46307,15.58773,0.12466000000000044,1.1770000000000067,1.1770000000000067
215,0.45,67.511,69.816,0.45,77.316,60.011,0.45,15.58773,17.0567,1.4689699999999988,13.866363979068202,13.8663639790682
216,0.45,77.316,60.011,0.45,77.316,58.834,0.45,17.0567,17.18136,0.12466000000000221,1.1769999999999996,1.1769999999999996
217,0.45,77.316,58.834,0.45,66.334,69.816,0.45,17.18136,18.82662,1.6452599999999968,15.53089334198133,15.53089334198133
218,0.45,66.334,69.816,0.45,65.158,69.816,0.45,18.82662,18.95127,0.12465000000000259,1.176000000000002,1.176000000000002
219,0.45,65.158,69.816,0.45,77.316,57.658,0.45,18.95127,20.77283,1.821559999999998,17.19400849133209,17.19400849133209
220,0.45,77.316,57.658,0.45,77.316,56.481,0.45,20.77283,20.89748,0.12465000000000259,1.1769999999999996,1.1769999999999996
221,0.45,77.316,56.481,0.45,63.981,69.816,0.45,20.89748,22.89532,1.99784,18.858537854245224,18.858537854245224
222,0.45,63.981,69.816,0.45,62.804,69.816,0.45,22.89532,23.01998,0.12465999999999866,1.1769999999999996,1.1769999999999996
223,0.45,62.804,69.816,0.45,77.316,55.304,0.45,23.01998,25.19411,2.174129999999998,20.523067217158356,20.523067217158356
224,0.45,77.316,55.304,0.45,77.316,54.128,0.45,25.19411,25.31876,0.12465000000000259,1.176000000000002,1.176000000000002
